Äänestysalue,Puolue,Paikkoja,Prosenttiosuus paikoista
Etelä-Karjala,Lappeenranta,41,69.49
Etelä-Karjala,Imatra,15,25.42
Etelä-Karjala,Ruokolahti,2,3.39
Etelä-Karjala,Taipalsaari,0,0.0
Etelä-Karjala,Savitaipale,1,1.69
Etelä-Karjala,Lemi,0,0.0
Etelä-Karjala,Rautjärvi,0,0.0
Etelä-Karjala,Luumäki,0,0.0
Etelä-Karjala,Parikkala,0,0.0
Etelä-Karjala,Totalseats,59,100.0
Etelä-Pohjanmaa,Seinäjoki,33,55.93
Etelä-Pohjanmaa,Kauhajoki,2,3.39
Etelä-Pohjanmaa,Kauhava,4,6.78
Etelä-Pohjanmaa,Kurikka,10,16.95
Etelä-Pohjanmaa,Lapua,5,8.47
Etelä-Pohjanmaa,Alavus,1,1.69
Etelä-Pohjanmaa,Ilmajoki,3,5.08
Etelä-Pohjanmaa,Ähtäri,1,1.69
Etelä-Pohjanmaa,Teuva,0,0.0
Etelä-Pohjanmaa,Alajärvi,0,0.0
Etelä-Pohjanmaa,Isokyrö,0,0.0
Etelä-Pohjanmaa,Lappajärvi,0,0.0
Etelä-Pohjanmaa,Vimpeli,0,0.0
Etelä-Pohjanmaa,Karijoki,0,0.0
Etelä-Pohjanmaa,Kuortane,0,0.0
Etelä-Pohjanmaa,Isojoki,0,0.0
Etelä-Pohjanmaa,Evijärvi,0,0.0
Etelä-Pohjanmaa,Soini,0,0.0
Etelä-Pohjanmaa,Totalseats,59,100.0
Etelä-Savo,Mikkeli,32,54.24
Etelä-Savo,Savonlinna,19,32.2
Etelä-Savo,Pieksämäki,7,11.86
Etelä-Savo,Mäntyharju,1,1.69
Etelä-Savo,Rantasalmi,0,0.0
Etelä-Savo,Juva,0,0.0
Etelä-Savo,Kangasniemi,0,0.0
Etelä-Savo,Puumala,0,0.0
Etelä-Savo,Pertunmaa,0,0.0
Etelä-Savo,Hirvensalmi,0,0.0
Etelä-Savo,Sulkava,0,0.0
Etelä-Savo,Enonkoski,0,0.0
Etelä-Savo,Totalseats,59,100.0
Pohjois-Karjala,Joensuu,37,62.71
Pohjois-Karjala,Kontiolahti,3,5.08
Pohjois-Karjala,Kitee,4,6.78
Pohjois-Karjala,Liperi,4,6.78
Pohjois-Karjala,Lieksa,6,10.17
Pohjois-Karjala,Outokumpu,1,1.69
Pohjois-Karjala,Nurmes,1,1.69
Pohjois-Karjala,Ilomantsi,3,5.08
Pohjois-Karjala,Heinävesi,0,0.0
Pohjois-Karjala,Juuka,0,0.0
Pohjois-Karjala,Rääkkylä,0,0.0
Pohjois-Karjala,Tohmajärvi,0,0.0
Pohjois-Karjala,Valtimo,0,0.0
Pohjois-Karjala,Polvijärvi,0,0.0
Pohjois-Karjala,Totalseats,59,100.0
Pohjois-Savo,Kuopio,51,73.91
Pohjois-Savo,Varkaus,7,10.14
Pohjois-Savo,Iisalmi,4,5.8
Pohjois-Savo,Lapinlahti,1,1.45
