Äänestysalue,Puolue,Paikkoja,Prosenttiosuus paikoista
totals,Districts,19,1.58
totals,Totalseats,1202,100.0
totals,SDP,251,20.88
totals,KESK,292,24.29
totals,KOK,227,18.89
totals,PS,111,9.23
totals,VIHR,112,9.32
totals,KD,51,4.24
totals,MYÖ,1,0.08
totals,VAS,103,8.57
totals,RKP,48,3.99
totals,SIT,1,0.08
totals,S-KS,1,0.08
totals,YL2,1,0.08
totals,PaHe,1,0.08
totals,KÄRKÖLÄRYH,1,0.08
totals,TaPu,1,0.08
Etelä-Karjala,SDP,17,28.81
Etelä-Karjala,Totalseats,59,100.0
Etelä-Karjala,KESK,15,25.42
Etelä-Karjala,KOK,13,22.03
Etelä-Karjala,PS,6,10.17
Etelä-Karjala,VIHR,5,8.47
Etelä-Karjala,KD,2,3.39
Etelä-Karjala,MYÖ,1,1.69
Etelä-Pohjanmaa,KESK,26,44.07
Etelä-Pohjanmaa,Totalseats,59,100.0
Etelä-Pohjanmaa,KOK,13,22.03
Etelä-Pohjanmaa,SDP,7,11.86
Etelä-Pohjanmaa,PS,6,10.17
Etelä-Pohjanmaa,KD,3,5.08
Etelä-Pohjanmaa,VIHR,2,3.39
Etelä-Pohjanmaa,VAS,2,3.39
Etelä-Savo,KESK,20,33.9
Etelä-Savo,Totalseats,59,100.0
Etelä-Savo,SDP,15,25.42
Etelä-Savo,KOK,10,16.95
Etelä-Savo,VIHR,5,8.47
Etelä-Savo,PS,5,8.47
Etelä-Savo,KD,3,5.08
Etelä-Savo,VAS,1,1.69
Pohjois-Karjala,KESK,19,32.2
Pohjois-Karjala,Totalseats,59,100.0
Pohjois-Karjala,SDP,16,27.12
Pohjois-Karjala,KOK,7,11.86
Pohjois-Karjala,PS,7,11.86
Pohjois-Karjala,VIHR,4,6.78
Pohjois-Karjala,VAS,3,5.08
Pohjois-Karjala,KD,3,5.08
Pohjois-Savo,KESK,21,30.43
Pohjois-Savo,Totalseats,69,100.0
Pohjois-Savo,SDP,14,20.29
Pohjois-Savo,KOK,11,15.94
Pohjois-Savo,VAS,7,10.14
Pohjois-Savo,PS,7,10.14
Pohjois-Savo,VIHR,5,7.25
Pohjois-Savo,KD,4,5.8
Kainuu,KESK,25,42.37
Kainuu,Totalseats,59,100.0
Kainuu,VAS,11,18.64
Kainuu,KOK,7,11.86
Kainuu,PS,6,10.17
Kainuu,SDP,6,10.17
Kainuu,VIHR,3,5.08
Kainuu,KD,1,1.69
Kanta-Häme,SDP,16,27.12
Kanta-Häme,Totalseats,59,100.0
Kanta-Häme,KOK,14,23.73
Kanta-Häme,KESK,10,16.95
Kanta-Häme,VAS,6,10.17
Kanta-Häme,VIHR,5,8.47
Kanta-Häme,PS,5,8.47
Kanta-Häme,KD,3,5.08
Keski-Pohjanmaa,KESK,26,44.07
Keski-Pohjanmaa,Totalseats,59,100.0
Keski-Pohjanmaa,SDP,9,15.25
Keski-Pohjanmaa,PS,6,10.17
Keski-Pohjanmaa,KOK,5,8.47
Keski-Pohjanmaa,KD,4,6.78
Keski-Pohjanmaa,RKP,4,6.78
Keski-Pohjanmaa,VAS,3,5.08
Keski-Pohjanmaa,VIHR,2,3.39
Keski-Suomi,KESK,18,26.09
Keski-Suomi,Totalseats,69,100.0
Keski-Suomi,SDP,16,23.19
Keski-Suomi,KOK,10,14.49
Keski-Suomi,VIHR,9,13.04
Keski-Suomi,VAS,6,8.7
Keski-Suomi,PS,6,8.7
Keski-Suomi,KD,4,5.8
Kymenlaakso,SDP,16,27.12
Kymenlaakso,Totalseats,59,100.0
Kymenlaakso,KOK,14,23.73
Kymenlaakso,KESK,8,13.56
Kymenlaakso,PS,6,10.17
Kymenlaakso,VIHR,6,10.17
Kymenlaakso,VAS,4,6.78
Kymenlaakso,KD,3,5.08
Kymenlaakso,SIT,1,1.69
Kymenlaakso,S-KS,1,1.69
Päijät-Häme,SDP,19,27.54
Päijät-Häme,Totalseats,69,100.0
Päijät-Häme,KOK,18,26.09
Päijät-Häme,KESK,9,13.04
Päijät-Häme,PS,7,10.14
Päijät-Häme,VIHR,6,8.7
Päijät-Häme,KD,4,5.8
Päijät-Häme,VAS,3,4.35
Päijät-Häme,YL2,1,1.45
Päijät-Häme,PaHe,1,1.45
Päijät-Häme,KÄRKÖLÄRYH,1,1.45
Lappi,KESK,23,38.98
Lappi,Totalseats,59,100.0
Lappi,VAS,11,18.64
